Key,Label,Description
19,Head of civil service,"In some systems, also known as secretary general, cabinet secretary, minister of state, this individual's role is to be the most senior civil service adviser to the executive. Their formal role is to support and advise on the running of cabinet and cabinet committees, and to support the government in reaching a collective agreement on policies. In parliamentary systems, they often act as one of the prime minister's senior advisers on the working of government and on major policy decisions. They also work very closely with the most senior ministers in government, advising the prime minister on priority issues and ensuring that the rest of the civil service works to deliver those priorities."
20,Inaugural address,"A speech normally delivered by the executive at the opening of a session of parliament, which outlines the government's legislative plans for the session."
21,Inauguration Day,The day at which the next leader is sworn into office and assumes control of government.
22,Judicial branch,An independent branch of government that adjudicates questions about the appropriate scope and application of law.
23,Landing teams,"A group within the presidential transition team that arrives at an agency or department following an election to gather relevant information related to agency and policy review, which helps the president-elect gather input and information to craft a policy agenda and plan for their first 100 days in office."
24,Legal frameworks,"Binding laws that define specific transition rules, intent and requirements."
25,Legislative session,The period of time a legislature meets until it breaks for recess.
26,Mandate letters,"A letter sent by a prime minister or head of government to a minister that outlines the leader's policy directives, in addition to other critical areas of focus. The letter may be made public in order to share policy initiatives for public awareness and input."
27,Member of parliament,"A person elected to serve in the legislature under a specific party, jurisdiction or constituency."
28,Minister,"An individual who oversees the actions and operations of an individual ministry (or department or agency). This person is typically appointed by the executive, and in some political systems, confirmed by the legislature."
29,Ministry (or department/agency),"The major arms of government that plan, coordinate and execute government operations in their area of responsibility. Ministries are overseen by ministers who report to the executive."
30,Office of the president,The administrative and policy staff that works for the president and establishes presidential intent and priorities for the administration as a whole.
31,Outgoing administration,"The current president who controls governmental decision-making during the period of campaign season, affirmation of the president-elect and through the inauguration that transfers governing authority to the next president."
32,Parliament,"The legislative branch of government. A parliament can be unicameral or bicameral depending on a nation's rule of law. Parliament's main functions are to conduct debates, to make and change legislation (laws) and to check the work of government."
33,Political appointees,"Persons who are appointed by an executive to serve in government at the pleasure of the leader, and who typically depart at the end of the leader's term. Ranging from ministers and secretaries to advisors, officers and junior assistants, they typically work in the executive mansion or ministries of government."
34,Political party,A group of people sharing a particular interest and set of goals in the political sphere.
35,Portfolio,"The responsibilities of a cabinet minister, especially the subject matter or government department or agency with which they are charged."
36,President-elect,"The person certified to have won the presidential election, but not yet sworn into office as governing president. This person will qualify for extensive transition support and information."
37,Prime minister,"The leader of the government who is ordinarily the leader of the party having the greatest number of seats in the legislature or the leader of a coalition. In some jurisdictions formally appointed by the head of state, the prime minister selects the other members of the cabinet and, along with them, is responsible to the legislature for the administration of public affairs. In some systems, a prime minister is also known as the following titles: chairman of government, president of the government, president of the executive council, minister-president, chancellor, minister of state, secretary of state, excellency, right honourable, head of parliament, grand vizier (Pakistan)."
38,Qualified candidates,Persons certified under national election laws as having enough support to merit access to basic outgoing administration transition materials.
39,Shadow cabinet,"The group of members in each opposition party, especially the official opposition, chosen to mirror the cabinet in government. Each member of the shadow cabinet is appointed to lead on a specific policy area for their party and to question and challenge their counterpart in the cabinet. In this way, the official opposition seeks to present itself as an alternative government-in-waiting."
40,Swearing-in,"The swearing-in is the process of making an oath, or a solemn affirmation, of allegiance to become the certified leader of a country."
41,Transition plan,"In this document, the transition plan is the document prepared by the transition team to review with the incoming executive as soon as they are determined to be elected the leader of the new government. Prior to the election, the transition team will be consulting with the leader to ensure that as soon as the election is called (or a coalition is formed) the plan for the smooth transfer of power is prepared to be implemented."
42,Transition teams,Persons serving in temporary roles to support and assist the separate incoming and outgoing administrations preparing to enter and depart government. Incoming and outgoing transition teams play different roles and functions but should work collaboratively.
